30p30n           
      0.722700     0.056200
      0.758200     0.056200
      0.808200     0.056200
      0.838200     0.056200
      0.868200     0.056200
      0.858700     0.057700
      0.849600     0.059300
      0.840100     0.060300
      0.825300     0.062300
      0.812500     0.063600
      0.799400     0.065100
      0.787400     0.066500
      0.776300     0.067800
      0.762900     0.069100
      0.750600     0.070200
      0.736600     0.071400
      0.721300     0.072700
      0.706100     0.073900
      0.688100     0.075300
      0.668500     0.076200
      0.648100     0.077400
      0.625300     0.078800
      0.596700     0.079400
      0.562400     0.081200
      0.510600     0.082500
      0.492500     0.082500
      0.472500     0.082500
      0.452500     0.082500
      0.432500     0.082500
      0.412500     0.082500
      0.392500     0.082500
      0.303000     0.080000
      0.274800     0.079000
      0.251900     0.077500
      0.215400     0.075200
      0.180400     0.072900
      0.146700     0.070100
      0.126300     0.067600
      0.108200     0.064000
      0.094900     0.060900
      0.081100     0.057300
      0.070800     0.053800
      0.060200     0.050200
      0.051000     0.046500
      0.041700     0.041700
      0.033600     0.037600
      0.030600     0.035800
      0.027100     0.033700
      0.024400     0.032000
      0.021200     0.029800
      0.017400     0.027100
      0.013200     0.023600
      0.009000     0.019300
      0.005500     0.015200
      0.002300     0.009800
      0.000700     0.005100
      0.000000     0.000000
      0.000400    -0.003200
      0.001900    -0.007200
      0.003900    -0.010100
      0.006700    -0.012300
      0.010600    -0.013800
      0.015200    -0.015000
      0.019600    -0.015900
      0.025500    -0.016900
      0.032200    -0.018300
      0.039800    -0.019400
      0.046500    -0.020400
      0.054500    -0.021500
      0.063300    -0.022800
      0.072800    -0.024200
      0.082900    -0.025400
      0.092200    -0.026500
      0.103300    -0.027600
      0.128000    -0.029900
      0.155000    -0.032500
      0.170800    -0.034000
      0.187500    -0.034800
      0.207400    -0.036100
      0.230600    -0.037400
      0.259700    -0.038400
      0.309000    -0.039700
      0.371100    -0.039600
      0.415500    -0.038700
      0.442300    -0.037600
      0.478900    -0.035100
      0.519300    -0.030900
      0.540900    -0.028900
      0.560800    -0.026300
      0.579400    -0.023700
      0.595600    -0.021400
      0.611300    -0.019100
      0.625800    -0.016500
      0.640200    -0.014200
      0.653900    -0.011600
      0.667000    -0.009300
      0.680500    -0.007000
      0.694400    -0.004600
      0.713700    -0.000800
      0.722700     0.000600
      0.722700     0.006200
      0.722700     0.016200
      0.722700     0.026200
      0.722700     0.036200
      0.722700     0.046200
      0.722700     0.056200
