WARNING: 15 open meshes remove
     Removed: Fuselage
     Removed: Inner Fuselage
     Removed: Instrument Panel
     Removed: Bathroom and Coat Area
     Removed: Bathroom and Coat Area
     Removed: Bathroom and Coat Area
     Removed: Bathroom and Coat Area
     Removed: Turboprop Transparent
     Removed: Turboprop Transparent
     Removed: Propeller Cone
     Removed: Propeller Cone
     Removed: Power Shaft
     Removed: Power Shaft
     Removed: Electric Motor Power Shaft
     Removed: Electric Motor Power Shaft
WARNING: 6 open meshes merged
     Merged: Horizontal Stabilizer
     Merged: Truss Brace
     Merged: Galley
     Merged: Forward Bulkhead
     Merged: Overhead Bins
     Merged: Main Wing Transparent
...Mass Properties...
201 Num Comps
201 Total Num Meshes
171744 Total Num Tris

1871.570271             Total Mass
10.773449 -0.028768 -2.435520       Center of Gravity
336156.274379 519167.802453 799275.951889       Ixx, Iyy, Izz
1190.465318 45436.827206 107.246213       Ixy, Ixz, Iyz
1871.570271             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Passenger Seats	1.485043	-7.259612	1.583333	-5.375000	0.291152	3.282918	3.558317	0.001614	0.000320	0.000081	1.485043
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger Seats	1.485043	-7.259612	-1.583333	-5.375000	0.291157	3.282918	3.558323	-0.001700	-0.000027	-0.000090	1.485043
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger Seats	1.485043	-7.259612	-3.250000	-5.375000	0.292875	3.282913	3.560045	-0.001632	0.000126	-0.000068	1.485043
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger Seats	3.613154	-3.299498	3.251960	-6.211913	0.825777	8.110948	8.651382	0.004052	0.000772	-0.003454	3.613154
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger Seats	3.599967	-3.299498	1.583299	-6.210469	0.819769	8.079811	8.618345	-0.029502	0.000391	-0.004650	3.599967
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Passenger Seats	3.605538	-3.299498	-1.583396	-6.211036	0.824896	8.092852	8.635001	-0.000932	0.002102	-0.004310	3.605538
Passenger Seats	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
